"sex","race","age","education","state","y"
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","OK",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","2.SomeCollege","SC",1
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",1
"1.Male","1.White","35-44","1.NoCollege","SC",1
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","1.NoCollege","SC",0
"1.Male","1.White","35-44","1.NoCollege","SC",0
"1.Male","1.White","25-34","1.NoCollege","CA",0
"1.Male","1.White","25-34","1.NoCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","1.NoCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","AZ",0
"1.Male","1.White","35-44","2.SomeCollege","UT",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","1.NoCollege","IA",1
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","1.NoCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","1.NoCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",1
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","35-44","1.NoCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","25-34","1.NoCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","25-34","1.NoCollege","SC",1
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","NM",1
"1.Male","1.White","25-34","2.SomeCollege","IN",0
"1.Male","1.White","35-44","2.SomeCollege","KS",0
"1.Male","1.White","35-44","2.SomeCollege","KY",0
"1.Male","1.White","35-44","2.SomeCollege","IN",0
"1.Male","1.White","35-44","2.SomeCollege","IN",0
"1.Male","1.White","25-34","3.CollegeOrMore","IN",1
"1.Male","1.White","25-34","3.CollegeOrMore","MD",0
"1.Male","1.White","35-44","1.NoCollege","IA",0
"1.Male","1.White","35-44","1.NoCollege","LA",0
"1.Male","1.White","35-44","3.CollegeOrMore","AL",0
"1.Male","1.White","35-44","3.CollegeOrMore","WY",1
"1.Male","1.White","25-34","3.CollegeOrMore","DC",1
"1.Male","1.White","25-34","1.NoCollege","MS",0
"1.Male","1.White","35-44","3.CollegeOrMore","RI",1
"1.Male","1.White","35-44","3.CollegeOrMore","MN",0
"1.Male","1.White","25-34","1.NoCollege","ID",1
"1.Male","1.White","35-44","3.CollegeOrMore","SD",0
"1.Male","1.White","25-34","2.SomeCollege","WY",0
"1.Male","1.White","35-44","1.NoCollege","MA",0
"1.Male","1.White","35-44","1.NoCollege","KS",0
"1.Male","1.White","25-34","2.SomeCollege","IL",0
"1.Male","1.White","35-44","3.CollegeOrMore","NE",1
"1.Male","1.White","35-44","2.SomeCollege","AL",0
"1.Male","1.White","35-44","2.SomeCollege","FL",0
"1.Male","1.White","45-54","2.SomeCollege","OR",1
"1.Male","1.White","35-44","2.SomeCollege","MS",0
"1.Male","1.White","35-44","3.CollegeOrMore","ND",1
"1.Male","1.White","35-44","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","2.SomeCollege","DE",1
"1.Male","1.White","45-54","3.CollegeOrMore","MS",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","2.SomeCollege","SC",1
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","IA",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",1
"1.Male","1.White","35-44","1.NoCollege","SD",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","CT",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","IN",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","2.SomeCollege","CT",1
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","1.NoCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","NJ",0
"1.Male","1.White","45-54","2.SomeCollege","MT",0
"1.Male","1.White","45-54","3.CollegeOrMore","NE",0
"1.Male","1.White","45-54","1.NoCollege","TN",1
"1.Male","1.White","45-54","2.SomeCollege","AZ",1
"1.Male","1.White","45-54","1.NoCollege","WY",0
"1.Male","1.White","35-44","1.NoCollege","MA",1
"1.Male","1.White","45-54","1.NoCollege","OH",1
"1.Male","1.White","45-54","2.SomeCollege","IL",1
"1.Male","1.White","35-44","3.CollegeOrMore","PA",0
"1.Male","1.White","35-44","3.CollegeOrMore","CT",0
"1.Male","1.White","35-44","2.SomeCollege","MO",0
"1.Male","1.White","45-54","1.NoCollege","DE",0
"1.Male","1.White","45-54","1.NoCollege","GA",0
"1.Male","1.White","45-54","3.CollegeOrMore","AL",0
"1.Male","1.White","45-54","1.NoCollege","AZ",0
"1.Male","1.White","35-44","2.SomeCollege","NJ",0
"1.Male","1.White","45-54","2.SomeCollege","CO",0
"1.Male","1.White","45-54","3.CollegeOrMore","NV",0
"1.Male","1.White","35-44","1.NoCollege","MT",0
"1.Male","1.White","35-44","2.SomeCollege","OH",0
"1.Male","1.White","45-54","2.SomeCollege","WV",0
"1.Male","1.White","35-44","2.SomeCollege","AZ",0
"1.Male","1.White","45-54","1.NoCollege","NJ",0
"1.Male","1.White","35-44","1.NoCollege","GA",1
"1.Male","1.White","45-54","1.NoCollege","AK",0
"1.Male","1.White","35-44","2.SomeCollege","TN",0
"1.Male","1.White","45-54","3.CollegeOrMore","CO",0
"1.Male","1.White","35-44","3.CollegeOrMore","CT",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","1.NoCollege","LA",0
"1.Male","1.White","45-54","2.SomeCollege","ID",0
"1.Male","1.White","45-54","2.SomeCollege","NC",0
"1.Male","1.White","45-54","2.SomeCollege","MN",1
"1.Male","1.White","55+","2.SomeCollege","WI",0
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","1.NoCollege","MN",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","IA",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","ID",0
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","NM",1
"1.Male","1.White","55+","1.NoCollege","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",1
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","2.SomeCollege","NM",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","FL",0
"1.Male","1.White","55+","1.NoCollege","MA",1
"1.Male","1.White","45-54","1.NoCollege","AR",1
"1.Male","1.White","55+","1.NoCollege","OK",0
"1.Male","1.White","55+","3.CollegeOrMore","TN",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","1.NoCollege","NM",1
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","45-54","1.NoCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","1.NoCollege","ND",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","1.NoCollege","SC",1
"1.Male","1.White","45-54","1.NoCollege","NH",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","1.NoCollege","VT",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","VT",1
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","45-54","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
